ID,NSt1_S1_RT,NSt1_S1_Resp,NSt1_S2_RT,NSt1_S2_Resp,NSt1_S3_RT,NSt1_S3_Resp,NSt1_S4_RT,NSt1_S4_Resp,NSt1_S5_RT,NSt1_S5_Resp,NSt1_S6_RT,NSt1_S6_Resp,NSt2_S1_RT,NSt2_S1_Resp,NSt2_S2_RT,NSt2_S2_Resp,NSt2_S3_RT,NSt2_S3_Resp,NSt2_S4_RT,NSt2_S4_Resp,NSt2_S5_RT,NSt2_S5_Resp,NSt2_S6_RT,NSt2_S6_Resp,NSt3_S1_RT,NSt3_S1_Resp,NSt3_S2_RT,NSt3_S2_Resp,NSt3_S3_RT,NSt3_S3_Resp,NSt3_S4_RT,NSt3_S4_Resp,NSt3_S5_RT,NSt3_S5_Resp,NSt3_S6_RT,NSt3_S6_Resp,St1_S1_RT,St1_S1_Resp,St1_S2_RT,St1_S2_Resp,St1_S3_RT,St1_S3_Resp,St1_S4_RT,St1_S4_Resp,St1_S5_RT,St1_S5_Resp,St1_S6_RT,St1_S6_Resp,St2_S1_RT,St2_S1_Resp,St2_S2_RT,St2_S2_Resp,St2_S3_RT,St2_S3_Resp,St2_S4_RT,St2_S4_Resp,St2_S5_RT,St2_S5_Resp,St2_S6_RT,St2_S6_Resp,St3_S1_RT,St3_S1_Resp,St3_S2_RT,St3_S2_Resp,St3_S3_RT,St3_S3_Resp,St3_S4_RT,St3_S4_Resp,St3_S5_RT,St3_S5_Resp,St3_S6_RT,St3_S6_Resp
10040,0,0,4825,1,1511,1,1545,1,0,0,1948,1,3633,1,2117.0,1.0,1637.0,1,1914.0,1.0,0.0,0.0,3245.0,1,3317.0,1,2167.0,1,2667.0,1,4706.0,1,4041.0,1,2472.0,1,3894,1,2145,1,2152,1,2784,1,2458,1,1515,1,2303.0,1.0,2241.0,1.0,2142.0,1,4116.0,1.0,2282.0,1.0,1883.0,1.0,3815.0,1,3330.0,1,2477.0,1,2490.0,1,2068.0,1,0.0,0
10046,2282,1,2077,1,2112,1,3114,1,1911,1,1971,1,2149,1,0.0,0.0,4220.0,video,2248.0,1.0,2844.0,1.0,3865.0,1,3150.0,1,2749.0,1,0.0,0,1601.0,1,2439.0,1,3627.0,1,2600,1,2209,1,2865,1,3799,1,3756,1,2639,0,2333.0,1.0,3067.0,1.0,0.0,0,0.0,0.0,2367.0,1.0,0.0,0.0,2922.0,1,4709.0,1,4765.0,1,3977.0,1,4512.0,1,3932.0,1
10051,2249,1,1699,1,1801,1,1884,1,1475,1,1410,1,1625,1,1784.0,1.0,1496.0,1,1240.0,1.0,1333.0,1.0,1032.0,1,1548.0,1,1162.0,1,1031.0,1,1283.0,1,1568.0,1,1161.0,1,2458,1,1777,1,1733,1,0,0,1673,1,1542,1,1519.0,1.0,1342.0,1.0,1668.0,1,1814.0,1.0,1769.0,1.0,1766.0,1.0,1716.0,1,1862.0,1,1798.0,1,1548.0,1,1333.0,1,1174.0,1
10537,2161,1,1720,1,1561,1,1644,1,2452,1,3189,1,2553,1,0.0,0.0,0.0,0,2160.0,1.0,0.0,0.0,1639.0,1,2219.0,1,1340.0,1,2758.0,1,0.0,0,2093.0,1,1661.0,1,0,0,0,0,0,0,2464,1,1626,0,2706,1,2646.0,1.0,0.0,0.0,2203.0,1,0.0,0.0,0.0,0.0,0.0,0.0,2771.0,1,3424.0,1,3012.0,1,2433.0,1,2539.0,1,2127.0,1
10538,0,0,0,0,2426,1,1836,1,2234,1,0,0,2403,1,4183.0,1.0,3335.0,1,2585.0,1.0,2537.0,1.0,2825.0,1,1929.0,1,2250.0,1,3066.0,1,139.0,video,2853.0,1,1699.0,1,4052,1,3870,1,3136,1,3178,1,0,0,3385,video,0.0,0.0,4590.0,1.0,2999.0,1,0.0,0.0,2416.0,1.0,0.0,0.0,4444.0,video,4305.0,video,0.0,0,1400.0,video,0.0,0,2936.0,0
10560,2282,1,2358,1,1739,1,0,0,0,0,0,0,2899,1,1878.0,1.0,2703.0,1,1257.0,1.0,1765.0,1.0,1964.0,1,1412.0,1,4574.0,1,2233.0,1,1491.0,1,1731.0,1,1683.0,1,0,0,1986,1,2408,1,0,0,0,0,0,0,2023.0,1.0,2149.0,1.0,2623.0,1,3873.0,1.0,0.0,0.0,3196.0,1.0,3189.0,1,0.0,0,3823.0,0,2080.0,1,3548.0,0,1780.0,1
10609,3281,1,1930,1,1815,1,1655,0,1975,1,2340,1,3580,1,1578.0,1.0,3165.0,video,2864.0,1.0,2558.0,1.0,2637.0,1,2499.0,1,1783.0,1,3257.0,1,3098.0,1,2252.0,1,0.0,0,0,0,1550,1,2864,1,3024,1,3931,1,0,0,2633.0,1.0,1832.0,1.0,1950.0,1,2389.0,1.0,2749.0,1.0,2394.0,1.0,2382.0,1,2682.0,1,1414.0,1,3234.0,1,0.0,0,2270.0,1
10614,4065,1,2602,1,3634,1,2669,1,3148,1,2218,1,3779,1,2739.0,1.0,3159.0,1,2946.0,1.0,2296.0,1.0,3062.0,1,0.0,0,3266.0,1,3155.0,1,2424.0,1,3953.0,1,3736.0,1,4428,1,0,0,4359,0,3555,0,0,0,3365,0,3931.0,0.0,0.0,0.0,2976.0,0,3559.0,0.0,2388.0,0.0,3183.0,0.0,3548.0,0,3281.0,0,3500.0,0,2596.0,video,3037.0,0,3194.0,0
10616,0,0,2653,1,0,0,1673,1,0,0,3905,1,0,0,4743.0,1.0,2960.0,1,0.0,0.0,2979.0,1.0,3742.0,1,2451.0,1,2244.0,1,2231.0,1,0.0,0,4210.0,1,4131.0,1,0,0,2319,1,2917,1,2679,1,4923,1,3035,1,0.0,0.0,2687.0,1.0,3129.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4462.0,1,3994.0,1,4121.0,1,3603.0,1,4826.0,1,0.0,0
10621,0,0,0,0,3021,1,3299,1,2882,1,3535,1,3952,1,3002.0,1.0,3708.0,video,3191.0,0.0,3368.0,1.0,3618.0,1,0.0,0,2556.0,1,0.0,0,3423.0,1,4475.0,1,0.0,0,4891,1,3758,1,3723,1,0,0,0,0,2036,1,2940.0,1.0,3300.0,1.0,3247.0,1,0.0,0.0,2649.0,1.0,3189.0,1.0,3243.0,1,4109.0,0,4589.0,1,2875.0,1,3789.0,1,0.0,0
